VT,MT,NAB_NAD,NAB_LED,BIKOND_LA,BIKOND_KO,OPS_NAD_FLEX,NAB_SUP,OPS_POT,NAB_POT,Somatotypo_Endo,Somatotypo_Meso,Somatotypo_Ecto,Eston_Endo,Eston_Meso,Eston_Ecto
193.3,94.6,6.93,10.33,7.9,10.8,37.5,7.53,38,4.9,2.13925,5.40552,2.47364,2.12,5.41,2.52
187,76.2,8.67,13.5,7,10,35.5,7.2,34.5,5.6,2.70101,3.99434,3.7075,2.67,3.99,3.75
172.7,66.3,5.87,8.67,6.3,9.5,33.1,4.07,33.3,5.4,1.72265,4.378,2.65433,1.71,4.38,2.7
174.6,69.7,6.97,8.3,6,8.6,32,7.2,37.5,5.13,2.14819,3.78387,2.47592,2.13,3.78,2.52
175,70,5.1,7.77,6.2,9.4,33,5.4,34,5.1,1.65296,4.04401,2.50254,1.64,4.04,2.55
190,87.5,16.2,10.47,7.4,10.1,37,6.27,39,15.73,3.00683,4.70648,2.74771,2.96,4.71,2.79
165.6,63.3,7.9,7.4,6.4,9,32.5,5.93,35,4.97,2.13833,5.22306,1.8361,2.12,5.22,1.88
179.5,88.1,22.73,13.6,7,9.8,35,12.57,40.5,4.8,4.68673,5.47719,1.04756,4.54,5.48,1.08
185.5,77,5.53,6.87,7.1,9.8,36.2,4.27,36.5,6.27,1.34681,4.65828,3.3372,1.34,4.66,3.38
177,79.8,9.47,12.67,7.4,9.2,36.5,13.8,39.5,8.93,3.54156,6.09109,1.51424,3.48,6.09,1.56
186.1,84,10.33,10.47,6.2,10,33.5,7,39,10.27,2.55404,3.66795,2.52506,2.53,3.67,2.57
187,89,6.87,10.07,7.2,9.8,38,6.03,42.5,5.13,2.0306,5.84515,2.07886,2.01,5.85,2.12
182.2,80.02,13.47,9.47,8.6,10.06,34.8,12.73,38.7,7.93,3.41303,6.44885,2.36995,3.36,6.45,2.42
182.5,74.3,12.67,13.53,6.5,9,32,17.07,35,7.1,4.12133,2.87699,3.19686,4.02,2.88,3.24
187.6,96.2,12.27,9.1,7.3,10.3,38.5,8,40,11.07,2.69145,5.64719,1.38992,2.66,5.65,1.44
169.4,62.8,7.07,8.27,6.5,9.3,31.3,5,34,5,1.97474,4.61988,2.61641,1.96,4.62,2.66
184.5,84.2,8,8.5,7.5,9.8,35.2,6.6,42,5.4,2.07828,5.79756,2.2332,2.06,5.8,2.28
178,81.6,6.4,9,7.4,10.4,35.5,6,38,7.27,1.97786,6.33623,1.46008,1.96,6.34,1.5
172,79.5,7.27,8.3,7.2,9.3,34.3,8.6,39.1,4.23,2.3822,6.27362,0.89054,2.36,6.27,0.92
175.5,72,7.17,7.67,7.5,9.5,31.7,5.33,35.6,0,1.87009,5.2104,2.3,1.85,5.21,2.34
187,82.3,8.33,9.13,7.2,9.6,34.2,6.33,39.2,6.27,2.11871,4.43344,2.88923,2.1,4.43,2.94
182.5,87.5,17.87,19.67,7.6,9.5,35.5,16.2,41,14.8,5.02162,5.52356,1.51109,4.84,5.52,1.56
179.4,80.5,8.33,11.33,6.7,10,34,8.93,40.5,5.47,2.74477,5.42502,1.83363,2.71,5.43,1.88
169.8,74,14.07,10.53,6.5,9.1,35.8,14.4,35,19.13,3.99805,5.09519,1.09584,3.91,5.1,1.12
167.5,76,8.33,8.67,6.3,9.7,33.9,9.07,39,6.6,2.67403,6.18193,0.67872,2.64,6.18,0.71
180.5,92.5,17.53,11.2,6.4,9.6,37,13.8,41.5,13.93,4.09697,5.19896,0.84896,4,5.2,0.88
174.6,73.4,6.33,7.87,6.8,9.4,32.7,6.2,40,4.8,1.90906,5.50251,1.94507,1.89,5.5,1.99
173.6,82.5,21.07,16,6.4,9.8,33.5,16.93,39.1,24.6,5.26499,4.94032,0.83344,5.05,4.94,0.86
168.5,59.3,17.73,10,5.7,8.1,23.2,6.47,31.2,9.53,3.54009,1.08324,3.04953,3.48,1.08,3.09
165.8,54.3,15.93,12.73,5.2,8.2,27.8,8.53,30.9,8.33,3.90764,1.9377,3.47007,3.82,1.94,3.51
169.3,70,14.07,8.27,6.2,8.8,34.5,6.13,35.5,9.47,2.91016,4.71461,1.49013,2.87,4.71,1.53
168.5,62.2,12.13,7.47,6,8.9,28.1,4.47,35.5,10.07,2.42742,3.53152,2.55012,2.4,3.53,2.59
159.9,56.1,15.7,9.6,5.5,8.9,30,6.73,32.9,15.4,3.49339,4.0148,1.99538,3.43,4.01,2.04
177,66,11.73,8.4,6.6,8.9,27.1,5.53,36.2,10.07,2.46873,2.86504,3.48046,2.44,2.87,3.53
165.5,66.1,14.73,7.8,6.4,9,31.1,5.33,41.1,10.67,2.91344,5.73488,1.38231,2.88,5.73,1.42
167,60,27.8,13.27,6.4,9.1,30.2,20.5,38,18.77,6.05461,4.55406,2.64558,5.7,4.55,2.69
170,56.2,11.3,14.1,6,9,28,8,35,9.1,3.42541,3.32705,3.90737,3.37,3.33,3.95
166.1,55.3,15.53,10.27,5.3,9,27,11.07,30,18,3.86815,2.02153,3.33334,3.79,2.02,3.38
164,65.1,15.8,17,5.4,9,29,12.07,33.5,20.73,4.70491,3.2729,1.262,4.56,3.27,1.3
163.4,56.5,17.53,13.47,6,8.4,29.5,14.2,33.5,14.93,4.75155,3.66056,2.59073,4.6,3.66,2.63
170.1,52.5,13.53,8.47,5.9,8.2,26.5,5.47,33,13.13,2.78502,2.03654,4.67286,2.75,2.04,4.72
173,67,9.47,10.27,6,9,39,6.93,37,6.67,2.64578,5.39757,2.59924,2.61,5.4,2.64
166,60,15.03,7.03,5.3,7.6,27.5,10.53,34.5,18.83,3.42283,2.00777,2.4586,3.37,2.01,2.5
174.5,68.7,18.2,11.4,6.5,9.1,29.5,18.8,40.5,22.33,4.76296,4.05142,2.608,4.61,4.05,2.65
167.5,71.4,20.4,14.07,6.2,9.1,31.5,24.33,37,17.27,5.82179,4.56363,1.06375,5.52,4.56,1.09
177.7,72.2,23.33,14.27,6.2,8,32.5,14.8,37,16.27,5.02777,2.71534,2.65821,4.85,2.72,2.7
162,52,13.67,8.6,5,8,28,5.6,31,6.6,2.98219,2.26774,3.19057,2.94,2.27,3.23
164.3,55,18.93,7,5.5,8.3,32,4.4,35,9.2,3.21247,3.83099,3.0448,3.16,3.83,3.09
170,61.5,11.93,8.9,6.2,8,28.5,7.53,33,6.47,2.88515,2.70014,2.94596,2.85,2.7,2.99
177.6,71.7,20.23,8.07,6.3,10,33,5.2,38.3,18.2,3.28517,4.34675,2.71303,3.23,4.35,2.76
181,82,18.63,15.83,6.4,9.2,29.5,20.87,36,22.3,5.18705,2.44212,1.91662,4.98,2.44,1.96
160.5,57,10.37,8.83,5.4,8.9,25.6,10.3,32.5,8.8,3.19795,3.16526,1.94773,3.15,3.17,1.99
169.1,74.7,24.23,15.47,5.6,9.1,33.2,34.47,37.8,21.3,6.9061,4.15074,0.96021,6.32,4.15,0.99
162.2,63.5,18.53,12.87,5.3,8.1,30.5,33.43,35.8,19.7,6.44589,3.49956,1.1938,6,3.5,1.22
178,67,10.5,10.7,5.5,8.5,30,7.87,34,17.03,2.81934,1.65191,3.50038,2.78,1.65,3.55
175.5,70,12,9.6,6.3,8.5,27.5,9.13,39.5,13.93,3.03879,3.10302,2.59134,3,3.1,2.64
163.5,54.4,13.33,10.43,5.2,8.6,27,5.5,32.5,13.33,3.10971,2.55498,3.00609,3.07,2.55,3.05
167,55,10.33,7.1,5.3,8.1,28,6.07,34,12.6,2.38583,2.37943,3.5645,2.36,2.38,3.61
174.4,60.6,9.17,5.7,6.4,8.5,28.5,5.2,34.8,6.03,1.87319,2.94462,3.92125,1.86,2.94,3.97
170,68.8,15.47,11.6,6,10.5,29.4,9.37,38.2,15.83,3.73793,4.8202,1.789,3.66,4.82,1.83
172,68,19.2,17.4,5.95,9.1,31.5,10.67,36.8,14.93,4.72388,3.78766,2.26631,4.57,3.79,2.31
164.6,55.5,8.87,6.83,6.1,8.5,23.3,5.33,34.5,11.47,2.12961,2.86317,3.00711,2.11,2.86,3.05
